,accuracy,clf,f1_score,precision,recall,uncover_percentage
165,0.9029850746268657,RandomForestClassifier,0.4723346828609986,0.48133333333333334,0.4652615144418423,0.2
166,0.8955223880597015,RandomForestClassifier,0.37793939393939396,0.6361323155216284,0.3666666666666667,0.2
167,0.8805970149253731,RandomForestClassifier,0.3688085676037483,0.40882103477523324,0.36754551161330823,0.2
168,0.8880597014925373,RandomForestClassifier,0.4640466628418436,0.962121212121212,0.41919191919191917,0.2
169,0.8955223880597015,RandomForestClassifier,0.37162461266046926,0.4671717171717171,0.3666666666666667,0.2
170,0.8507462686567164,RandomForestClassifier,0.400532521871434,0.3866120218579235,0.41623931623931626,0.2
171,0.8582089552238806,RandomForestClassifier,0.3078982597054886,0.28606965174129356,0.3333333333333333,0.2
172,0.8805970149253731,RandomForestClassifier,0.3634085213032581,0.3689922480620155,0.36754551161330823,0.2
173,0.8805970149253731,RandomForestClassifier,0.38859020310633213,0.40882103477523324,0.3888888888888889,0.2
174,0.8656716417910447,RandomForestClassifier,0.30933333333333335,0.2885572139303482,0.3333333333333333,0.2
175,0.8805970149253731,AdaBoostClassifier,0.4713448417152121,0.5091397849462366,0.4517584811702459,0.2
176,0.8955223880597015,AdaBoostClassifier,0.31620553359683795,0.30303030303030304,0.3305785123966942,0.2
177,0.8656716417910447,AdaBoostClassifier,0.40782454060462364,0.39207650273224043,0.4276377217553688,0.2
178,0.8731343283582089,AdaBoostClassifier,0.47087685976574867,0.5793650793650794,0.45335775335775336,0.2
179,0.8582089552238806,AdaBoostClassifier,0.519746173945502,0.5132183908045977,0.5275443510737629,0.2
180,0.8880597014925373,AdaBoostClassifier,0.5926713947990544,0.5839160839160839,0.6024482109227872,0.2
181,0.8731343283582089,AdaBoostClassifier,0.312,0.2932330827067669,0.3333333333333333,0.2
182,0.8507462686567164,AdaBoostClassifier,0.44344273841386106,0.41060606060606064,0.5882352941176471,0.2
183,0.8656716417910447,AdaBoostClassifier,0.5962887015518594,0.576984126984127,0.6358543417366946,0.2
184,0.8432835820895522,AdaBoostClassifier,0.48077263866737546,0.4627538618364307,0.5247432306255836,0.2
185,0.8731343283582089,AdaBoostClassifier,0.5398187887458273,0.6336996336996337,0.5700477683236304,0.2
186,0.8656716417910447,AdaBoostClassifier,0.41005512386265525,0.43333333333333335,0.41932773109243704,0.2
187,0.8507462686567164,AdaBoostClassifier,0.5391304347826087,0.5321637426900585,0.5470219435736677,0.2
188,0.8283582089552238,AdaBoostClassifier,0.3832939322301024,0.3821399839098954,0.3930523028883684,0.2
189,0.8880597014925373,AdaBoostClassifier,0.4985754985754986,0.4563432210491034,0.5783475783475783,0.2
190,0.8955223880597015,AdaBoostClassifier,0.468362282878412,0.5499999999999999,0.4416195856873823,0.2
191,0.8432835820895522,AdaBoostClassifier,0.5399570930544382,0.5524402907580478,0.615100585688821,0.2
192,0.8805970149253731,AdaBoostClassifier,0.43920765027322406,0.4661458333333333,0.4304597701149426,0.2
193,0.8805970149253731,AdaBoostClassifier,0.489327485380117,0.4914182475158085,0.4886039886039886,0.2
194,0.8283582089552238,AdaBoostClassifier,0.36753669389652655,0.3596774193548387,0.3765480895915678,0.2
195,0.8432835820895522,AdaBoostClassifier,0.4120567375886525,0.38481888481888477,0.4774011299435028,0.2
196,0.8656716417910447,AdaBoostClassifier,0.42766077624465426,0.4609375,0.41844532279314883,0.2
197,0.8582089552238806,AdaBoostClassifier,0.4060448408274495,0.3779118485000838,0.4857549857549858,0.2
198,0.8731343283582089,AdaBoostClassifier,0.3661311914323962,0.4595959595959596,0.36381766381766384,0.2
199,0.8880597014925373,AdaBoostClassifier,0.6021749497211337,0.5938697318007663,0.6113701113701114,0.2
200,0.8888888888888888,RandomForestClassifier,0.4667322189446083,0.46119162640901773,0.4724724724724725,0.25
201,0.873015873015873,RandomForestClassifier,0.3687739463601533,0.38114754098360654,0.371969696969697,0.25
202,0.9047619047619048,RandomForestClassifier,0.4536796536796537,0.453781512605042,0.45535714285714285,0.25
203,0.8650793650793651,RandomForestClassifier,0.3645684310920363,0.6213333333333333,0.3636363636363636,0.25
204,0.9047619047619048,RandomForestClassifier,0.3206751054852321,0.31666666666666665,0.3247863247863248,0.25
205,0.8809523809523809,RandomForestClassifier,0.31223628691983124,0.29365079365079366,0.3333333333333333,0.25
206,0.8968253968253969,RandomForestClassifier,0.3959131545338442,0.3666666666666667,0.4444444444444444,0.25
207,0.873015873015873,RandomForestClassifier,0.35766283524904213,0.3475783475783476,0.3714975845410628,0.25
208,0.9285714285714286,RandomForestClassifier,0.582579867389994,0.8670309653916211,0.5193236714975846,0.25
209,0.8571428571428571,RandomForestClassifier,0.36008436008436,0.40108401084010836,0.36358024691358026,0.25
210,0.8888888888888888,RandomForestClassifier,0.3717948717948718,0.3866120218579235,0.37202380952380953,0.25
211,0.8888888888888888,RandomForestClassifier,0.41269841269841273,0.419234360410831,0.41071428571428575,0.25
212,0.8968253968253969,RandomForestClassifier,0.4287076776347163,0.43911845730027554,0.42559523809523814,0.25
213,0.8650793650793651,RandomForestClassifier,0.31187410586552217,0.2953929539295393,0.3303030303030303,0.25
214,0.8809523809523809,RandomForestClassifier,0.4084564860426929,0.4361111111111111,0.398478835978836,0.25
215,0.8888888888888888,RandomForestClassifier,0.4492753623188406,0.4694444444444444,0.4414141414141414,0.25
216,0.8809523809523809,RandomForestClassifier,0.31223628691983124,0.29365079365079366,0.3333333333333333,0.25
217,0.8888888888888888,RandomForestClassifier,0.37684537684537683,0.41192411924119243,0.375,0.25
218,0.873015873015873,RandomForestClassifier,0.36585636585636583,0.35833333333333334,0.3749463749463749,0.25
219,0.8809523809523809,RandomForestClassifier,0.31223628691983124,0.296,0.33035714285714285,0.25
220,0.873015873015873,RandomForestClassifier,0.31339031339031337,0.2956989247311828,0.3333333333333333,0.25
221,0.8650793650793651,RandomForestClassifier,0.30921985815602837,0.28835978835978837,0.3333333333333333,0.25
222,0.873015873015873,RandomForestClassifier,0.36860373978277905,0.34655172413793106,0.4326450344149459,0.25
223,0.8571428571428571,RandomForestClassifier,0.30769230769230765,0.2857142857142857,0.3333333333333333,0.25
224,0.8809523809523809,RandomForestClassifier,0.37872340425531914,0.40921409214092136,0.375,0.25
225,0.8888888888888888,AdaBoostClassifier,0.4910728147803136,0.47681159420289854,0.5065065065065065,0.25
