,accuracy,clf,f1_score,iterations,precision,recall,sorted_by,uncover_percentage
0,0.8742138364779874,RandomForestClassifier,0.31096196868008946,25.0,0.29140461215932917,0.3333333333333333,degree,0.05
1,0.8742138364779874,AdaBoostClassifier,0.31096196868008946,25.0,0.29140461215932917,0.3333333333333333,degree,0.05
2,0.8742138364779874,RandomForestClassifier,0.31096196868008946,25.0,0.29140461215932917,0.3333333333333333,closeness,0.05
3,0.8742138364779874,AdaBoostClassifier,0.31096196868008946,25.0,0.29140461215932917,0.3333333333333333,closeness,0.05
4,0.8930817610062893,RandomForestClassifier,0.4052730696798493,25.0,0.467741935483871,0.393939393939394,betweenness,0.05
5,0.2138364779874214,AdaBoostClassifier,0.1414598703331098,25.0,0.3205198109778263,0.3322510822510823,betweenness,0.05
6,0.8805031446540881,RandomForestClassifier,0.31425364758698093,25.0,0.29914529914529914,0.3309692671394799,pagerank,0.05
7,0.8742138364779874,AdaBoostClassifier,0.32064590542099186,25.0,0.31306306306306303,0.32860520094562645,pagerank,0.05
8,0.8742138364779874,RandomForestClassifier,0.31096196868008946,25.0,0.29140461215932917,0.3333333333333333,eigenvector,0.05
9,0.8742138364779874,AdaBoostClassifier,0.31096196868008946,25.0,0.29140461215932917,0.3333333333333333,eigenvector,0.05
10,0.7483443708609272,RandomForestClassifier,0.43147269660552395,25.0,0.5117030965391621,0.4117110959216222,degree,0.1
11,0.052980132450331126,AdaBoostClassifier,0.06401638819537801,25.0,0.03684922244759973,0.27705627705627706,degree,0.1
12,0.7483443708609272,RandomForestClassifier,0.43147269660552395,25.0,0.5117030965391621,0.4117110959216222,closeness,0.1
13,0.052980132450331126,AdaBoostClassifier,0.06401638819537801,25.0,0.03684922244759973,0.27705627705627706,closeness,0.1
14,0.8807947019867549,RandomForestClassifier,0.31220657276995306,25.0,0.293598233995585,0.3333333333333333,betweenness,0.1
15,0.8741721854304636,AdaBoostClassifier,0.3595238095238095,25.0,0.3803854875283446,0.36165413533834584,betweenness,0.1
16,0.8807947019867549,RandomForestClassifier,0.47794117647058826,25.0,0.44460784313725493,0.5334967320261438,pagerank,0.1
17,0.695364238410596,AdaBoostClassifier,0.2958300550747443,25.0,0.3199404761904762,0.29193899782135074,pagerank,0.1
18,0.13245033112582782,RandomForestClassifier,0.09049676687812203,25.0,0.3271382893685052,0.327363184079602,eigenvector,0.1
19,0.12582781456953643,AdaBoostClassifier,0.08563038742066875,25.0,0.2436951754385965,0.23233830845771145,eigenvector,0.1
20,0.8591549295774648,RandomForestClassifier,0.43650793650793646,25.0,0.43784119106699754,0.4802662037037037,degree,0.15
21,0.8943661971830986,AdaBoostClassifier,0.4545454545454546,25.0,0.5285947712418301,0.42922453703703706,degree,0.15
22,0.8802816901408451,RandomForestClassifier,0.45865302642796246,25.0,0.43154761904761907,0.500145815106445,closeness,0.15
23,0.647887323943662,AdaBoostClassifier,0.329782679862003,25.0,0.35698005698005697,0.4479440069991251,closeness,0.15
24,0.8873239436619719,RandomForestClassifier,0.42771342771342774,25.0,0.41938178780284047,0.4365079365079365,betweenness,0.15
25,0.9014084507042254,AdaBoostClassifier,0.5007724301841949,25.0,0.46909163188232955,0.544973544973545,betweenness,0.15
26,0.9154929577464789,RandomForestClassifier,0.47747343212093996,25.0,0.4515151515151515,0.5135531135531135,pagerank,0.15
27,0.9014084507042254,AdaBoostClassifier,0.40949957591178965,25.0,0.38484848484848483,0.4564102564102564,pagerank,0.15
28,0.852112676056338,RandomForestClassifier,0.39720430107526883,25.0,0.38935574229691877,0.42990956072351416,eigenvector,0.15
29,0.9084507042253521,AdaBoostClassifier,0.40174129353233834,25.0,0.4180655475619504,0.3974160206718346,eigenvector,0.15
30,0.9104477611940298,RandomForestClassifier,0.6011536126290224,25.0,0.5958626073380172,0.6113387978142076,degree,0.2
31,0.8731343283582089,AdaBoostClassifier,0.5247175141242938,25.0,0.49415204678362573,0.639344262295082,degree,0.2
32,0.8880597014925373,RandomForestClassifier,0.48186889818688977,25.0,0.4423597025016903,0.591947348044909,closeness,0.2
33,0.8805970149253731,AdaBoostClassifier,0.5317510548523207,25.0,0.49707602339181284,0.6514711575687185,closeness,0.2
34,0.753731343283582,RandomForestClassifier,0.4385166455962916,25.0,0.6754018169112509,0.45,betweenness,0.2
35,0.8955223880597015,AdaBoostClassifier,0.39814814814814814,25.0,0.4671717171717171,0.3861111111111111,betweenness,0.2
36,0.917910447761194,RandomForestClassifier,0.3190661478599222,25.0,0.30597014925373134,0.3333333333333333,pagerank,0.2
37,0.6716417910447762,AdaBoostClassifier,0.39544025157232704,25.0,0.6781579843377598,0.5306813782423538,pagerank,0.2
38,0.917910447761194,RandomForestClassifier,0.5049683830171635,25.0,0.4838709677419355,0.5307377049180327,eigenvector,0.2
39,0.8731343283582089,AdaBoostClassifier,0.4557040998217469,25.0,0.4844270606982471,0.5198087431693988,eigenvector,0.2
40,0.9285714285714286,RandomForestClassifier,0.4161232957913456,25.0,0.6426666666666666,0.3888888888888889,degree,0.25
41,0.9126984126984127,AdaBoostClassifier,0.31811894882434305,25.0,0.3066666666666667,0.33045977011494254,degree,0.25
42,0.9285714285714286,RandomForestClassifier,0.4689291802262514,25.0,0.5338753387533876,0.44157088122605365,closeness,0.25
43,0.9126984126984127,AdaBoostClassifier,0.31811894882434305,25.0,0.3066666666666667,0.33045977011494254,closeness,0.25
44,0.7301587301587301,RandomForestClassifier,0.37333930437378715,25.0,0.3783891547049442,0.582608695652174,betweenness,0.25
